Jun 16 21:55:45 *	Now talking on #ioi2006
Jun 16 21:55:46 *	Topic for #ioi2006 is: na Lgame, resheniqta ednoznachni li sa? - resheniqta sa 100% ednoznachni, t.e. vsichko razlichno e greshno
Jun 16 21:55:46 *	Topic for #ioi2006 set by PreslavLe!~presley@217-10-254-7.cable.evrocom.net at Fri Jun 16 20:56:36 2006
Jun 16 22:01:41 *	PreslavLe (~presley@217-10-254-7.cable.evrocom.net) has joined #ioi2006
Jun 16 22:01:51 PreslavLe	zdraveite
Jun 16 22:01:56 valo		zdrasti
Jun 16 22:02:12 valo		vesko mai go nqma
Jun 16 22:03:00 PreslavLe	ami mai da
Jun 16 22:03:30 valo		iskren shte idva li?
Jun 16 22:03:47 PreslavLe	i ideq si nqmam
Jun 16 22:05:42 valo		ami shte chakame
Jun 16 22:05:49 valo		ti inache kak si?
Jun 16 22:06:34 PreslavLe	денска
Jun 16 22:06:38 PreslavLe	dneska
Jun 16 22:06:40 PreslavLe	ujas
Jun 16 22:06:50 valo		shto taka?
Jun 16 22:06:52 PreslavLe	cql den sam si gubil vremeto s gluposti no pone izchistih dosta neshta
Jun 16 22:08:49 valo		moment che govorq po tel...
Jun 16 22:08:54 PreslavLe	ok
Jun 16 22:11:24 valo		ufff..
Jun 16 22:11:34 valo		maika mi mi zvyni za vtori pyt taq vecher :(
Jun 16 22:11:55 valo		s kakvo si se zanimaval tolkova?
Jun 16 22:12:33 PreslavLe	hodih v uchilishte da si poplavam lichnoto delo i da potvarjdavam uspeha ot diplomata
Jun 16 22:12:40 PreslavLe	posle trqbvashe da prevada nqkolko stranici
Jun 16 22:13:06 PreslavLe	posle prashtah snimki, zashtoto obeshtah da gi pratq predi 1 mesec, no pone si svarshih rabotata za blizkiq mesec :)
Jun 16 22:14:25 valo		aha... kofti e kato trqbva da se zanimavash s gluposti
Jun 16 22:14:41 PreslavLe	kakto i da e :)
Jun 16 22:14:48 PreslavLe	veche ste vlqza v ritam v palna sila
Jun 16 22:15:07 PreslavLe	btw samo v nedelq li shte pravim kontrolno
Jun 16 22:15:16 valo		ne znam
